grid_x,grid_y,death_count
4231,3244,209
4468,6206,208
6259,3783,208
4221,3247,208
6264,3782,208
4212,3249,208
4510,6208,208
4515,6212,208
4238,3272,208
4499,6292,208
4237,3272,208
6225,3788,207
4372,6399,207
4687,6395,207
4447,6231,207
4420,3388,207
6852,4601,207
4211,3249,207
4233,3266,207
4358,3388,207
4233,3258,207
4641,6500,206
3662,4116,206
4451,6229,206
4229,3243,206
4375,6234,206
4503,6294,206
4321,6364,206
4639,6499,206
4475,6210,206
4637,6501,206
4194,3242,205
3620,4022,205
3662,4115,205
6256,3783,205
6226,3786,205
4205,3240,205
3669,5845,204
4323,6371,204
4639,6497,204
6271,3788,204
4476,6293,204
4220,3247,204
3922,2869,204
4450,6276,204
4232,3242,204
4449,6226,204
4199,3242,203
